sample	condition2	condition_order	time	number_rep	normalization
091222_1500_06	A	1	1	4	1
091222_1501_07	A	1	2	4	1
091222_1502_08	A	1	3	4	1
091222_1503_09	A	1	4	4	1
091222_1504_11	B	2	1	4	1
091222_1505_12	B	2	2	4	1
091222_1506_13	B	2	3	4	1
091222_1507_14	B	2	4	4	1
091222_1508_16	C	3	1	4	1
091222_1509_17	C	3	2	4	1
091222_1510_18	C	3	3	4	1
091222_1511_19	C	3	4	4	1
091222_1512_21	D	4	1	4	1
091222_1513_22	D	4	2	4	1
091222_1514_23	D	4	3	4	1
091222_1515_24	D	4	4	4	1
091222_1516_26	E	5	1	4	1
091222_1517_27	E	5	2	4	1
091222_1518_28	E	5	3	4	1
091222_1519_29	E	5	4	4	1
091222_1520_31	F	6	1	4	1
091222_1521_32	F	6	2	4	1
091222_1522_33	F	6	3	4	1
091222_1523_34	F	6	4	4	1
091222_1524_36	G	7	1	4	1
091222_1525_37	G	7	2	4	1
091222_1526_38	G	7	3	4	1
091222_1527_39	G	7	4	4	1
091222_1528_41	H	8	1	4	1
091222_1529_42	H	8	2	4	1
091222_1530_43	H	8	3	4	1
091222_1531_44	H	8	4	4	1
091222_1532_46	I	9	1	4	1
091222_1533_47	I	9	2	4	1
091222_1534_48	I	9	3	4	1
091222_1535_49	I	9	4	4	1
091222_1536_51	J	10	1	4	1
091222_1537_52	J	10	2	4	1
091222_1538_53	J	10	3	4	1
091222_1539_65	J	10	4	4	1
091222_1540_55	K	11	1	4	1
091222_1541_56	K	11	2	4	1
091222_1542_57	K	11	3	4	1
091222_1543_58	K	11	4	4	1
091222_1544_60	L	12	1	4	1
091222_1545_61	L	12	2	4	1
091222_1546_62	L	12	3	4	1
091222_1547_63	L	12	4	4	1
091222_PT-CM_75	PT	13	1	1	1
091222_QC_03	QC	14	1	1	1
